title,inception,movement,genre,image_url
Self-portrait with three collars,1791-01-01T00:00:00Z,neoclassicism,self-portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%20-%20Self-Portrait%20-%20WGA6066.jpg
"Bonaparte, First Consul",1804-01-01T00:00:00Z,neoclassicism,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Auguste%20Dominique%20Ingres%20016.jpg
Bonaparte Visiting the Plague Victims of Jaffa,1804-01-01T00:00:00Z,neoclassicism,history painting,http://commons.wikimedia.org/wiki/Special:FilePath/Antoine-Jean%20Gros%20-%20Bonaparte%20Visiting%20the%20Plague%20Victims%20of%20Jaffa.jpeg
Portrait of the Sisters Zénaïde and Charlotte Bonaparte,1821-01-01T00:00:00Z,neoclassicism,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%20-%20Portrait%20of%20the%20Sisters%20Z%C3%A9na%C3%AFde%20and%20Charlotte%20Bonaparte.jpg
The Fight Between Mars and Minerva,1771-01-01T00:00:00Z,neoclassicism,mythological painting,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Combat%20Of%20Mars%20And%20Minerva.jpg
Portrait of Monsieur Bertin,1832-01-01T00:00:00Z,neoclassicism,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Louis-Francois%20Bertin.jpg
Apollo and Diana Attacking the Children of Niobe,1772-01-01T00:00:00Z,neoclassicism,mythological painting,http://commons.wikimedia.org/wiki/Special:FilePath/Apollo%20and%20Diana%20Attacking%20the%20Children%20of%20Niobe%20by%20Jacques-Louis%20David.jpg
Odalisque with Slave,1842-01-01T00:00:00Z,neoclassicism,nude,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Paul%20Flandrin%20-%20Odalisque%20with%20Slave%20-%20Walters%2037887.jpg
Odalisque with Slave,1842-01-01T00:00:00Z,neoclassicism,nude,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Paul%20Flandrin%20-%20Odalisque%20with%20Slave%20-%20Walters%2037887.jpg
Odalisque with Slave,1842-01-01T00:00:00Z,neoclassicism,nude,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Paul%20Flandrin%20-%20Odalisque%20with%20Slave%20-%20Walters%2037887.jpg
Odalisque with Slave,1842-01-01T00:00:00Z,neoclassicism,genre art,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Paul%20Flandrin%20-%20Odalisque%20with%20Slave%20-%20Walters%2037887.jpg
Odalisque with Slave,1842-01-01T00:00:00Z,neoclassicism,genre art,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Paul%20Flandrin%20-%20Odalisque%20with%20Slave%20-%20Walters%2037887.jpg
Odalisque with Slave,1842-01-01T00:00:00Z,neoclassicism,genre art,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Paul%20Flandrin%20-%20Odalisque%20with%20Slave%20-%20Walters%2037887.jpg
Peasant Family in an Interior,1642-01-01T00:00:00Z,neoclassicism,genre art,http://commons.wikimedia.org/wiki/Special:FilePath/Famille%20de%20paysans%20dans%20un%20interieur.jpg
Peasant Family in an Interior,1642-01-01T00:00:00Z,neoclassicism,genre art,http://commons.wikimedia.org/wiki/Special:FilePath/Famille%20de%20paysans%20dans%20un%20interieur.jpg
Peasant Family in an Interior,1642-01-01T00:00:00Z,neoclassicism,family portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Famille%20de%20paysans%20dans%20un%20interieur.jpg
Peasant Family in an Interior,1642-01-01T00:00:00Z,neoclassicism,family portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Famille%20de%20paysans%20dans%20un%20interieur.jpg
The Valpinçon Bather,1808-01-01T00:00:00Z,neoclassicism,nude,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Auguste-Dominique%20Ingres%20-%20La%20Baigneuse%20Valpin%C3%A7on.jpg
Madame Moitessier,1856-01-01T00:00:00Z,neoclassicism,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Dominique%20Ingres%20-%20Mme%20Moitessier.jpg
Cupid and Psyche,1817-01-01T00:00:00Z,neoclassicism,nude,http://commons.wikimedia.org/wiki/Special:FilePath/Clevelandart%201962.37.jpg
Cupid and Psyche,1817-01-01T00:00:00Z,neoclassicism,mythological painting,http://commons.wikimedia.org/wiki/Special:FilePath/Clevelandart%201962.37.jpg
